LP_Folder,LP_Catalog,LP_Title,Side,Track_No,Track_Title,Track_Year,Match_Status,Disc_Date,Disc_Title,Disc_AltTitle,Singer,Master,Matrix,Note
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,A,4,Milonga de Mis Amores,1970,matched,1970-12-16,Milonga de Mis Amores,,Instrumental,Tape-S,11126,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,A,5,Criolla Linda,1970,matched,1970-10-29,Criolla Linda,,Instrumental,Tape-S,10856,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,A,6,Gallo Ciego,1969,matched,1969-09-18,Gallo Ciego,,Instrumental,Tape-S,9494,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,B,1,El Pillete,1973,matched,1973-12-14,El Pillete,,Instrumental,Tape-S,15325,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,B,2,Viernes 13,1973,matched,1973-12-14,Viernes Trece,Viernes 13,Instrumental,Tape-S,15324,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,B,3,Primerísimo,1973,matched,1973-12-14,Primerísimo,,Instrumental,Tape-S,15315,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,B,4,Germaine,1969,matched,1969-10-20,Germaine,,Instrumental,Tape-S,9570,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,B,5,El Estagiario,1970,matched,1970-08-21,El Estagiario,,Instrumental,Tape-S,10514,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,B,6,Este Es El Rey,1971,matched,1971-11-26,Este Es el Rey,,Instrumental,Tape-S,12199,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,A,1,Nueve Puntos,1965,matched,1965-08-11,Nueve Puntos,,Instrumental,Tape-S,5268,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,A,2,Tiempos Viejos,1965,matched,1965-08-12,Tiempos Viejos,Te Acordás Hermano,Armando Laborde,Tape-S,5275,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,A,3,La Tablada,1965,matched,1965-08-11,La Tablada,,Instrumental,Tape-S,5269,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,A,4,El Internado,1965,matched,1965-08-27,El Internado,,Instrumental,Tape-S,5323,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,A,5,Yo No Sé Que Me Han Hecho Tus Ojos,1965,matched_variant,1965-08-12,Yo No Sé Qué Me Han Echo Tus Ojos,,Osvaldo Ramos,Tape-S,5274,fuzzy 0.99 of 'Yo No Sé Qué Me Han Echo Tus Ojos'
