Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disk,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Adolfo Carabelli,Adolfo Carabelli Jazz Band,12/29/1931,España,,Vals,Instrumental,Víctor,78rpm,66579-1,37120-A,Émile Waldteufel,,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,2/5/1932,Jamás Podré Olvidarte,,Vals,Alberto Gómez,Víctor,78rpm,66616-2,37138-B,Julio De Caro,Mario Gomila,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,2/5/1932,Tango del Querer,,Tango,Alberto Gómez,Víctor,78rpm,66617-2,37138-A,Andrés Doménech,Ricardo Lleras,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,3/18/1932,Olvidao,,Tango,Charlo,Víctor,78rpm,66663-2,37163-B,Guillermo Barbieri,Enrique Cadícamo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,3/21/1932,Clyde,,Vals,Carlos Lafuente,Víctor,78rpm,66664-1,37163-A,"Héctor Bates, Luis Bates",Venancio Clauso,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/6/1932,Cuando Miran Tus Ojos,,Vals,Luis Díaz,Víctor,78rpm,66705-1,37185-B,José Aguilar,Enrique Cadícamo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/6/1932,Desconfianza,,Tango,Luis Díaz,Víctor,78rpm,66704-1,37185-A,Edgardo Donato,Manuel Romero,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/11/1932,Hambre,,Tango,Instrumental,Víctor,78rpm,,,Juan Cobián,Enrique Cadícamo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/11/1932,Sorbos Amargos,,Tango,Instrumental,Víctor,78rpm,,,Lucio Demare,"Agustín Irusta, Roberto Fugazot",,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/20/1932,Manón,,Tango,Alberto Gómez,Víctor,78rpm,66727-1,37200-B,Arturo De Bassi,Antonio Podestá,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/24/1932,Por Dónde Andará,,Tango,Alberto Gómez,Víctor,78rpm,66730-1,37201-A,Salvador Merico,Atilio Supparo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,6/17/1932,Inspiración,Inspiración,Tango,Alberto Gómez,Víctor,78rpm,66812-1,37227-A,Peregrino Paulos,Luis Rubistein,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,6/24/1932,Amargor,,Tango,Instrumental,Víctor,78rpm,,,Francisco Lomuto,Claudio Frollo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,6/24/1932,Felicia,,Tango,Instrumental,Víctor,78rpm,66835-1,37225-B,Enrique Saborido,Carlos Pacheco,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,6/24/1932,Rodríguez Peña,Rodríguez Peña,Tango,Alberto Gómez,Víctor,78rpm,66834-1,37225-A,Vicente Greco,"Juan Velich, Rafael Velich",,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,7/26/1932,Volvé,,Tango,Mercedes Simone,Víctor,78rpm,66849-1,37244-B,Edgardo Donato,Luis Herrera,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,8/24/1932,Ronda,,Vals,Instrumental,Víctor,78rpm,,,Cátulo Castillo,Cátulo Castillo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,9/9/1932,Alma,,Tango,Alberto Gómez,Víctor,78rpm,66908-1,37270-B,Federico Scorticati,Juan Sarcione,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,9/9/1932,Loco,,Tango,Alberto Gómez,Víctor,78rpm,66909-1,37271-B,Niels Paulos,Luis Rubistein,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,9/27/1932,El Trece,El 13,Tango,Alberto Gómez,Víctor,78rpm,66910-1,37285-A,Alberico Spátola,Ángel Villoldo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,10/28/1932,El Caburé,,Tango,Instrumental,Víctor,78rpm,66945-1,37303-B,Arturo De Bassi,,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,10/28/1932,La Guiñada,,Tango,Instrumental,Víctor,78rpm,66943-3,37302-B,Agustín Bardi,,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,10/28/1932,Ñatita,,Vals,Carlos Lafuente,Víctor,78rpm,66944-1,37303-A,Pasquale De Luca,Pasquale De Luca,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,12/21/1932,El Pensamiento,,Tango,Carlos Lafuente,Víctor,78rpm,66990-1,37332-A,José Martínez,Francisco Jiménez,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,12/30/1932,Milonga Sentimental,,Milonga,Carlos Lafuente,Víctor,78rpm,74002-1,37331-A,Sebastián Piana,Homero Manzi,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,12/30/1932,No Le Quiero Mirar,,Vals,Carlos Lafuente y Mercedes Simone,Víctor,78rpm,74003-1,37331-B,Pablo Rodríguez,Pablo Rodríguez,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,2/1/1933,Napole,,Vals,Alberto Gomez,Víctor,78rpm,74034,37343-A,Tito Schipa-F. Frayser,,,31-34 Orquesta Carabeli,,,,,
Adolfo Carabelli,Orquesta Adolfo Carabelli,3/14/1933,Contigo Siempre,,Vals,Alberto Gómez,Víctor,78rpm,74064,37360-B,Teresa Beltrán,Teresa Beltrán,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,4/11/1933,Mía,Para Ti,Tango,Carlos Lafuente,Víctor,78rpm,74088,37376-A,"Antonio Arona, Elvino Vardaro",Celedonio Flores,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/4/1933,Tomala con Soda,,Tango,Carlos Lafuente,Víctor,78rpm,74115,37394-A,Enrique Delfino,Manuel Romero,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,6/20/1933,Cobardía,Bolero de Ma Vie,Tango,Instrumental,Víctor,78rpm,,,Charlo,Luis Amadori,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
