Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Disk,Matrix,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Domingo Federico,Orquesta Domingo Federico,8/25/1950,Barrio Viejo,Barrio Viejo del Ochenta,Milonga,Enzo Valentino,Víctor,45rpm,60-2023,93837,Enrique Maciel,Héctor Pedro Blomberg,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/25/1950,El Simpático,Tango de la Guardia Vieja,Tango,instrumental,Víctor,45rpm,60-2023,93836,Juan Santini,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/10/1951,Cualquier Cosa,,Tango,Enzo Valentino,Víctor,,63-0091-B,94092,Herminia Velich,Juan Miguel Velich,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/10/1951,Estampa de Matón,,Tango,Carlos Valdez,Víctor,,63-0091-A,94093,Domingo S. Federico,Domingo Federico,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/3/1951,Dibujos,,Tango,instrumental,Víctor,,63-0115,94276,José Ranieri,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/3/1951,Pachito,,Tango,instrumental,Víctor,,63-0115,94277,Domingo S. Federico,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/3/1951,El Marajá,,Tango,instrumental,Víctor,,63-0090,94342,Francisco Federico,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/3/1951,Qué Hacés Qué Hacés (qué Hacés Qué Hacés (ruego Engañoso)),,Tango,Carlos Valdez,Víctor,,63-0090,94343,Jesús Fernández Blanco; José Di Clemente,Jesús Blanco,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/26/1952,Ronda Sentimental,,Tango,Armando Moreno,Víctor,,63-0170,94927,Domingo S. Federico,Domingo Federico,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/26/1952,Yo Te Adoro,,Tango,Armando Moreno,Víctor,,63-0170,94928,Carlos Gardel; José Razzano,"Carlos Gardel, José Razzano",,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/21/1952,Flores Artificiales,,Tango,Armando Moreno,Víctor,,63-0178,S 004,Francisco Federico; Enrique M. Gaudino,Enrique Gaudino,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/21/1952,La Carta que Me Dejaste,,Tango,Armando Moreno,Víctor,,63-0178,S 005,Humberto La Rocca; Celedonio E. Flores,Celedonio Flores,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/25/1952,El Látigo,,Tango,instrumental,Víctor,,63-0195,S 0074,Juan Keleshian,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/25/1952,Percal,,Tango,Armando Moreno,Víctor,,63-0195,S 0074,Domingo Federico,Homero Expósito,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/11/1952,Tristezas De La Calle Corrientes,Tristeza de la Calle Corrientes,Tango,Carlos Valdez,Víctor,,63-0195,S 00114,Domingo S. Federico,Homero Expósito,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/11/1952,Valsecito De Antes,,Vals,Armando Moreno,Víctor,,63-0277,S 00115,Antonio Sureda,Homero Manzi,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/24/1952,Leyenda Gaucha,,Tango,instrumental,Víctor,,63-0245,S 00271,Juan Santini,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/24/1952,Pobre Arlequín,,Tango,Armando Moreno,Víctor,,63-0245,S 00270,Domingo S. Federico; José Rótulo,José Rótulo,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/16/1953,Coco,,Tango,instrumental,Víctor,Tape,63-0302,S 00944,Domingo S. Federico,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/29/1953,Para que Bailen,,Tango,instrumental,Víctor,Tape,63-0310,S 00970,Juan Keleshian,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/29/1953,Por Qué Perdí su Querer,Porque Perdí su Querer,Tango,Armando Moreno,Víctor,Tape,63-0310,S 00969,Francisco Federico; Antonio Cantó,Antonio Cantó,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/27/1953,En la Buena y en la Mala,,Tango,Armando Moreno,Víctor,Tape,63-0329,S 001027,Enrique Rodríguez,Enrique Cadícamo,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/27/1953,Tonadita Amiga,,Milonga,instrumental,Víctor,Tape,63-0329,S 001028,Domingo S. Federico; Carlos Bahr,Carlos Bahr,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/4/1953,A Bailar,,Tango,Armando Moreno,Víctor,Tape,68-1255,S 001762,Domingo Federico,Homero Expósito,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/4/1953,Cumpleaños de Mi Madre,,Vals,Armando Moreno,Víctor,Tape,68-1255,S 001763,Armando O. Bassi; Moreno,Armando Moreno,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,2/11/1954,A María Rosa,Mi María Rosa,Tango,instrumental,Víctor,Tape,60-2354,S 001960,Domingo S. Federico; Francisco Federico,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,2/11/1954,Designio,,Tango,Armando Moreno,Víctor,Tape,60-2354,S 001961,Julio Medovoy; Carlos Bahr,Carlos Bahr,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/7/1954,Muy Suave,,Tango,instrumental,Víctor,Tape,60-2385,S 002038,Domingo S. Federico,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/7/1954,Otario que Andás Penando,Otario que Vas Penando,Tango,Armando Moreno,Víctor,Tape,60-2385,S 002039,Enrique Delfino,Alberto Vaccarezza,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,1/20/1955,Corazón Encadenado,,Tango,Armando Moreno,Víctor,Tape,68-2015,S 003712,Francisco Canaro,Ivo Pelay,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,1/20/1955,Pobre Novia,Mi Pobre Novia,Vals,Armando Moreno,Víctor,Tape,68-2015,S 003711,Roberto Rufino,Sara Rainer,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/29/1956,Charlemos,,Tango,Dante Rossi,Víctor,Tape,68-2408,S 005010,Luis Rubinstein,Luis Rubinstein,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/29/1956,Y Todavía Te Quiero,,Tango,Armando Moreno,Víctor,Tape,68-2408,S 005009,Luciano Leocata,Abel Aznar,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,1/12/1960,Negro,,Milonga,Rubén Maciel y Rubén Sánchez,Víctor,Tape,1A-1866,LAAR1142,Domingo S. Federico,Domingo Federico,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1/12/1960,Portero Suba Y Diga,,Tango,Rubén Maciel,Víctor,Tape,1A-1865,LAAR1143,Eduardo De Labar,Luis César Amadori,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1/12/1960,Presentación,,Tango,instrumental,Víctor,Tape,1A-1865,LAAR1141,Domingo S. Federico,,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1/12/1960,Tus Ojos Me Aprisionan,,Tango,Rubén Sánchez,Víctor,Tape,1A-1866,LAAR1144,Schneider; Blesio,Norberto Blesio,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,8/8/1968,El Chamuyo,,Tango,instrumental,Víctor,Tape,CAL 3160,LAAR 8208,Francisco Canaro,,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,,"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,8/20/1968,A Lo Pirincho,,Milonga,instrumental,Víctor,Tape,CAL 3160,LAAR 8208,Haydee Cardón; Francisco Federico,Haydeé Cardón,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,,"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,8/20/1968,Felicia,,Tango,instrumental,Víctor,Tape,CAL 3160,LAAR 8208,Enrique Saborido,Carlos Mauricio Pacheco,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,,"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,8/20/1968,Quejas De Bandoneón,Quejas de Bandoneón,Tango,instrumental,Víctor,Tape,CAL 3160,LAAR 8208,Juan de Dios Filiberto,,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,,"Piano, Bass, Bandoneon"
Domingo Federico,Domingo Federico y su Grupo Tango Intima,9/24/1969,Fuelle Azul,,Tango,instrumental,Rosafón,Tape,LP 103,Tango Intimo,Domingo S. Federico; Haydee Cardón,Haydeé Cardón,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,UNKNOWN (Guitar),"Bandoneon, Guitar"
Domingo Federico,Domingo Federico y su Grupo Tango Intima,9/24/1969,La Cumparsita,Si Supieras,Tango,Rubén Maciel,Rosafón,Tape,LP 103,Tango Intimo,Gerardo H. Matos Rodríguez,Pascual Contursi; Enrique P. Maroni,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,UNKNOWN (Guitar),"Bandoneon, Guitar"
Domingo Federico,Domingo Federico y su Grupo Tango Intima,9/24/1969,Percal,,Tango,Rubén Maciel,Rosafón,Tape,LP 103,Tango Intimo,Domingo Federico,Homero Expósito,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,UNKNOWN (Guitar),"Bandoneon, Guitar"
Domingo Federico,Domingo Federico y su Grupo Tango Intima,9/24/1969,Tango Íntimo,,Tango,Omar Carranza,Rosafón,Tape,LP 103,Tango Intimo,Domingo S. Federico; Haydee Cardón,"Domingo Federico, Haydeé Cardón",,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,UNKNOWN (Guitar),"Bandoneon, Guitar"
