Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Disk,Matrix,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Domingo Federico,Orquesta Domingo Federico,1965,Al compás del corazón,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Rodolfo Sciammarella,Héctor Canziani,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1966,A Lo Pirincho,,Milonga,instrumental,Víctor,Tape,sin dato,,Haydee Cardón; Francisco Federico,Haydeé Cardón,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,José Eguía,"Piano, Bass, Bandoneon, Violin"
Domingo Federico,Orquesta Domingo Federico,1966,Después del Carnaval,,Tango,Rubén Sánchez,Rosafón,Tape,sin dato,,José A. Amuschastegui,José A. Amuschastegui,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,José Eguía,"Piano, Bass, Bandoneon, Violin"
Domingo Federico,Orquesta Domingo Federico,1966,Don Esteban,,Tango,Rubén Sánchez,Rosafón,Tape,sin dato,,Augusto P. Berto,Carlos Sarmiento,,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,José Eguía,"Piano, Bass, Bandoneon, Violin"
Domingo Federico,Orquesta Domingo Federico,1966,Te Soñé una Noche,,Tango,Rubén Sánchez,Rosafón,Tape,sin dato,,A. Angeletti; M. Bor,"Armando Ángeletti, Alberto Bor",,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,José Eguía,"Piano, Bass, Bandoneon, Violin"
Domingo Federico,Orquesta Domingo Federico,1966,Y Fué,,Tango,Rubén Sánchez,Rosafón,Tape,sin dato,,Chef Contillo; Haydee Cardón,"Haydeé Cardón, Chet Contillo",,58-71 / Small Groups,Abel Pizzicatti,Norberto Nofri,Domingo Federico,José Eguía,"Piano, Bass, Bandoneon, Violin"
Domingo Federico,Domingo Federico (Sexteto (en piano Miguel Nijensohn)),1968,Gallo Ciego,,Tango,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,Agustín Bardi,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Domingo Federico (Sexteto),1968,Don Juan,,Tango,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,Ernesto Ponzio,Ricardo J. Podestá,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Domingo Federico (Sexteto),1968,El Choclo,,Tango,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,Angel Villoldo,Enrique Santos Discépolo; Carlos Márambio Catán,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Domingo Federico (Sexteto),1968,Dibujos,,Tango,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,José Ranieri,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Domingo Federico (Sexteto),1968,La cumparsita,,Tango,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,Gerardo H. Matos Rodríguez,Pascual Contursi; Enrique P. Maroni,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Domingo Federico (Sexteto),1968,Canaro en París,,Tango,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,Alejandro Scarpino; Juan Caldarella,José Scarpino,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Domingo Federico (Sexteto),1968,La Puñalada,,Milonga,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,Pintín Castellanos,Celedonio Esteban Flores,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Domingo Federico (Sexteto),1968,Adiós muchachos,,Tango,instrumental,RCA Víctor,Tape,CAL 3160,LAAR 8208,César F. Védani,Julio César Sanders,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1969,Al Compás Del Corazón,Late un Corazón,Tango,Carlos Vidal,Embassy,Tape,70004,Saludos,Domingo S. Federico,Homero Expósito,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,1969,La Gente Siempre la Gente,,Tango,Carlos Vidal,Embassy,Tape,70004,Saludos,Miguel Nijenson; Domingo S. Federico,Miguel Nijensohn,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,1969,Mansa,,Tango,Carlos Vidal,Embassy,Tape,70004,Saludos,Domingo Federico,Haydee Cardón,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,1969,Percal,,Tango,Carlos Vidal,Embassy,Tape,70004,Saludos,Domingo Federico,Homero Expósito,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,1969,Saludos,,Tango,instrumental,Embassy,Tape,70004,Saludos,Domingo Federico; Francisco Federico,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,1969,Yuyo Verde,Callejón,Tango,Carlos Vidal,Embassy,Tape,70004,Saludos,Domingo S. Federico,Homero A. Expósito,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon"
Domingo Federico,Orquesta Domingo Federico,1969,Monterrey,,Tango,instrumental,Embassy,Tape,70004,Saludos,Alfredo Bevilacqua,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1969,Festejo en la Luna,,Tango,instrumental,Embassy,Tape,70004,Saludos,Domingo S. Federico; J. Valdivia,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1969,Réquiem para un Compañero,,Tango,instrumental,Embassy,Tape,70004,Saludos,Domingo S. Federico; Francisco Federico,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1969,Un Cigarrillo Muerto,,Tango,Carlos Vidal,Embassy,Tape,70004,Saludos,Cátulo Castillo; Miguel Nijensohn,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1969,Tango Compadrón,,Tango,instrumental,Embassy,Tape,70004,Saludos,Rodolfo Forte; Miguel Nijensohn,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1969,A Mi Pinita,,Tango,instrumental,Embassy,Tape,70004,Saludos,Domingo S. Federico,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1971,Desde la Noche,,Tango,Omar Carranza,Rosafón,Tape,17395,,Domingo Federico,Miguel Angel Jubany,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1971,En Debe y Haber,,Tango,Omar Carranza,Rosafón,Tape,17395,,Domingo Federico,Miguel Angel Jubany,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1971,Maciel Tiempo de Olvido,,Vals,Omar Carranza,Rosafón,Tape,17395,,Domingo S. Federico; Miguel Angel Jubany,Miguel Jubany,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1971,Mi Viejo Viejo Spleen,,Milonga,Omar Carranza,Rosafón,Tape,17395,,Domingo S. Federico; Miguel Angel Jubany,Miguel Jubany,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1971,Nuevo Tokio,Nuevo Tokyo,Tango,instrumental,Rosafón,Tape,17395,,Domingo S. Federico,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1971,Preludio a la Muerte Pobre,,Tango,Omar Carranza,Rosafón,Tape,17395,,Domingo S. Federico; Miguel Angel Jubany,Miguel Jubany,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1971,Réquiem Para un Caudillo,,Tango,Omar Carranza,Rosafón,Tape,17395,,Domingo S. Federico; Miguel Angel Jubany,Miguel Jubany,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1/3/1942,Selección de tangos de Gardel 1,,Tango,Carlos Vidal y Oscar Larroca,RCA Víctor,78rpm,60-0856,80960,,,,,,,,,
Domingo Federico,Orquesta Domingo Federico,1/3/1942,Selección de tangos de Gardel 2,,,Carlos Vidal y Oscar Larroca,RCA Víctor,78rpm,60-0856,80961,,,,,,,,,
Domingo Federico,Orquesta Domingo Federico,4/10/1944,La Culpa la Tuve Yo,,Tango,Ignacio Diáz,Víctor,45rpm,60-0405-B,79619,Andrés Domenech,Adolfo Rafael Avilés,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/10/1944,Saludos,,Tango,instrumental,Víctor,45rpm,60-0405-A,79618,Domingo Federico; Francisco Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
