Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disk,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Ángel D'Agostino,Orquesta Ángel D'Agostino,5/22/1942,Esquinas Porteñas,,Vals,Ángel Vargas,Víctor,78rpm,69723,39624,Sebastián Piana,Homero Manzi,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,6/15/1942,Guitarra que Llora,,Tango,Ángel Vargas,Víctor,78rpm,69759,39688,Oscar Alemán,Enrique Cadícamo,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,6/15/1942,Trasnochando,,Tango,Ángel Vargas,Víctor,78rpm,69760,39633,Armando Baliotti,Santiago Adamini,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,7/15/1942,Al Volverte a Ver,,Tango,Ángel Vargas,Víctor,78rpm,69802,39657,Roberto Blanco,Julio Nelson,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,7/15/1942,Un Lamento,,Tango,Ángel Vargas,Víctor,78rpm,69801,39657,Graciano De Leone,Pedro Córdoba,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,8/11/1942,Gil a Rayas,,Tango,Instrumental,Víctor,78rpm,69683,39688,Juan Guyot,Rafael Herraiz,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,9/2/1942,Hay que Vivirla Compadre,,Tango,Ángel Vargas,Víctor,78rpm,69910,39694,"Alfredo Attadía, Ángel D'Agostino",Héctor Marcó,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,9/2/1942,Pero Yo Sé,,Tango,Ángel Vargas,Víctor,78rpm,69911,39694,Azucena Maizani,Azucena Maizani,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/15/1942,De Salto y Carta,,Tango,Ángel Vargas,Víctor,78rpm,84001,39746,Alberto Acuña,José De Cicco,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/15/1942,La Chiflada,El Silbido,Tango,Instrumental,Víctor,78rpm,84002,39746,Juan Bazán,,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/29/1942,Noviecita Mía,,Tango,Ángel Vargas,Víctor,78rpm,84031,39769,Antonio Polito,Antonio Polito,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/29/1942,Oiga Mozo,,Tango,Ángel Vargas,Víctor,78rpm,84032,39769,Héctor Varela,Alberto Nery,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/17/1942,Así Me Gusta a Mí,,Milonga,Ángel Vargas,Víctor,78rpm,84059,39785,Ángel D'Agostino,José Bazán,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/17/1942,Llora Vida Mía,,Tango,Ángel Vargas,Víctor,78rpm,84059,39785,Rosendo Luna,Rosendo Luna,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/17/1942,Yo Tengo una Novia,,Vals,Ángel Vargas,Víctor,78rpm,84060,39841,"Rosendo Pesoa, Diego Centeno",Héctor Marcó,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,12/14/1942,Todo Terminó,,Tango,Ángel Vargas,Víctor,78rpm,84189,39817,"Alfredo Attadía, Ismael Spitalnik",Mario Soto,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,12/30/1942,Barrio De Tango,,Tango,Ángel Vargas,Víctor,78rpm,84223,39841,Aníbal Troilo,Homero Manzi,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,12/30/1942,Ninguna,,Tango,Ángel Vargas,Víctor,78rpm,84222,39817,Raúl Siro,Homero Manzi,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,3/12/1943,El Trece,El 13,Tango,Ángel Vargas,Víctor,78rpm,84252,60-0018,Alberico Spátola,Ángel Villoldo,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,3/12/1943,En Lo de Laura,,Milonga,Ángel Vargas,Víctor,78rpm,84253,60-0018,Antonio Polito,Enrique Cadícamo,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,3/23/1943,El Porteñito,,Milonga,Ángel Vargas,Víctor,78rpm,84270,60-0037,Ángel Villoldo,Ángel Villoldo,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,3/20/1943,No Creas,,Tango,Ángel Vargas,Víctor,78rpm,84269,60-0037,Benjamín Barrio,Luis Castiñeira,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
